;bitdepth;bitrate;duration;filesize;samplerate;album;albumartist;artist;genre;title;track;year
0;16.0;700.1899598574714;295.61333333333334;25873186;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";The 1975;1;2020
1;16.0;1003.1978985838282;175.12;21960002;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Roadkill;10;2020
2;16.0;1088.9612019045169;207.22666666666666;28207725;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Me & You Together Song;11;2020
3;16.0;893.9995684408542;240.98666666666668;26930247;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";I Think There's Something You Should Know;12;2020
4;16.0;793.4872398852749;218.49333333333334;21671459;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Nothing Revealed / Everything Denied;13;2020
5;16.0;896.5167969803182;247.26666666666668;27709840;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Tonight (I Wish I Was Your Boy);14;2020
6;16.0;870.8907356735205;170.54666666666665;18565939;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Shiny Collarbone;15;2020
7;16.0;972.9566132264529;319.36;38840428;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";If You're Too Shy (Let Me Know);16;2020
8;16.0;840.4971271872552;204.21333333333334;21455090;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Playing On My Mind;17;2020
9;16.0;833.3375301601228;364.72;37991858;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Having No Head;18;2020
10;16.0;887.7544362692057;246.45333333333335;27348755;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";What Should I Say;19;2020
11;16.0;1024.4862754973558;158.84;20341175;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";People;2;2020
12;16.0;853.6274181818183;146.66666666666666;15649836;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Bagsy Not In Net;20;2020
13;16.0;772.287779362815;168.24;16241212;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Don't Worry;21;2020
14;16.0;933.9094250148191;269.92;31510104;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Guys;22;2020
15;16.0;865.8953533568904;150.93333333333334;16336559;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";The End (Music For Cars);3;2020
16;16.0;961.6339747616057;233.50666666666666;28068493;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Frail State Of Mind;4;2020
17;16.0;777.8364001722406;92.89333333333333;9031977;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Streaming;5;2020
18;16.0;917.0627326584878;285.82666666666665;32765123;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";The Birthday Party;6;2020
19;16.0;857.3350966858106;253.05333333333334;27118938;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Yeah I Know;7;2020
20;16.0;986.8798869228353;127.34666666666666;15709483;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Then Because She Goes;8;2020
21;16.0;770.561393939394;264.0;25428526;44100;Notes On A Conditional Form;The 1975;The 1975;"2020s; Rock; Indie; Miscellaneous";Jesus Christ 2005 God Bless America;9;2020
22;;320.0;83.088;3410942;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The 1975;1;2016
23;;320.0;347.568;13990183;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Somebody Else;10;2016
24;;320.0;260.472;10506314;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Loving Someone;11;2016
25;;320.0;248.928;10044544;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The Sound;13;2016
26;;320.0;252.528;10188568;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";This Must Be My Dream;14;2016
27;;320.0;293.088;11810936;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Paris;15;2016
28;;320.0;238.368;9622134;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Nana;16;2016
29;;320.0;238.752;9637512;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";She Lays Down;17;2016
30;;320.0;222.072;8970331;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Love Me;2;2016
31;;320.0;180.048;7289334;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";UGH!;3;2016
32;;320.0;283.896;11443280;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";A Change of Heart;4;2016
33;;320.0;270.12;10892234;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";She's American;5;2016
34;;320.0;380.376;15302478;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";If I Believe You;6;2016
35;;320.0;265.848;10721356;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Please Be Naked;7;2016
36;;320.0;319.464;12865986;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Lostmyhead;8;2016
37;;320.0;190.632;7716741;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The Ballad of Me and My Brain;9;2016
38;;320.0;386.136;15532988;48000;I like it when you sleep, for you are so beautiful yet so unaware of it;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";I like it when you sleep, for you are so beautiful yet so unaware of it;12;2016
39;;320.0;79.97913953715458;3211823;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The 1975;1;2013
40;;320.0;254.5384177326433;10194875;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Robbers;10;2013
41;;320.0;254.66900497998245;10200097;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Girls;11;2013
42;;320.0;79.6395726979787;3198233;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";12;12;2013
43;;320.0;239.2844073820916;9584659;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";She Way Out;13;2013
44;;320.0;206.7912305438922;8284802;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Menswear;14;2013
45;;320.0;221.44449956058983;8870990;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Pressure;15;2013
46;;320.0;174.27198125183088;6983922;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Is There Somebody Who Can Watch You;16;2013
47;;320.0;206.92184278879014;8290027;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The City;2;2013
48;;320.0;216.6123214529831;8677686;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";M.O.N.E.Y.;3;2013
49;;320.0;224.70948071477395;9001603;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Chocolate;4;2013
50;;320.0;207.0524300361293;8295246;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Sex;5;2013
51;;320.0;167.7942388438629;6724767;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Talk!;6;2013
52;;320.0;74.80739459037203;3004937;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";An Encounter;7;2013
53;;320.0;202.35086417342058;8107171;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Heart Out;8;2013
54;;320.0;239.93739361390487;9610781;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Settle Down;9;2013
